ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
1,,,,,,,0.821,0.034,44.736,0.023,246.82,0.13,955.9683,0.001,0.3558246,0.23,-1,6,20,100,x,FALSE,4.48E+07,4.44E+07,4.55E+07,1.35E+07,1.84E+07,2.51E+07,3.21E+07,4.23E+07,5.06E+07,5.71E+07,5.06E+07,6.97E+07,4.24E+07,4.86E+07,3.60E+07,5.98E+07,3.69E+07,5.85E+07,4.29E+07,5.04E+07
2,1-Pyrroline-4-hydroxy-2-carboxylate,C5 H7 N O3,(M-H)-,129.0426,,,1.691,0.002,20.945,0.028,124.78,0.17,128.035,0.0002,0.3413288,0.2,-1,4,20,100,x,FALSE,5.08E+07,5.23E+07,5.12E+07,9981880,1.94E+07,2.80E+07,3.92E+07,5.08E+07,3.88E+07,4.78E+07,4.45E+07,5.54E+07,4.01E+07,5.03E+07,2.67E+07,5.58E+07,3.22E+07,4.84E+07,3.74E+07,5.97E+07
3,,,,,,,3.139,0.012,21.362,0.015,123.32,0.09,194.9056,0.0006,0.3270217,0.87,-1,5,13,91.6,x,FALSE,7.12E+07,6.56E+07,5.71E+07,7.42E+07,4.97E+07,0.001,7.98E+07,6.19E+07,1.01E+08,0.001,0.001,1.01E+07,6.27E+07,6.30E+07,0.001,6.12E+07,0.001,0.001,0.001,6.39E+07
4,,,,,,,2.788,0.062,45.702,0.076,252.1,0.42,980.0126,0.0009,0.2515828,0.47,-1,3,19,100,,FALSE,3.20E+07,3.01E+07,3.00E+07,69400.93,2.82E+07,2.73E+07,2.64E+07,2.74E+07,4.30E+07,0.001,3.72E+07,4.04E+07,1.77E+07,3.07E+07,4.06E+07,3.43E+07,3.52E+07,3.91E+07,3.22E+07,3.23E+07
5,,,,,,,1.262,0.043,28.146,0.032,161.06,0.19,241.1192,0.0003,0.2255623,0.56,-1,4,19,100,x,FALSE,3.58E+07,744871.3,3.96E+07,1429784,1.04E+07,1.91E+07,3.13E+07,4.79E+07,2.16E+07,0.001,2.90E+07,5.25E+07,2.96E+07,3.92E+07,7464953,6.03E+07,1.32E+07,4.93E+07,2.73E+07,5.60E+07
6,L-Isoleucine,C6 H13 N O2,(M-H)-,131.0946,73-32-5,130.6,1.651,0.027,21.984,0.065,130.87,0.39,130.0872,0.0001,0.1706633,0.46,-1,3,20,100,x,FALSE,3.05E+07,3.10E+07,3.14E+07,1752992,3295986,5970853,1.26E+07,2.69E+07,2.03E+07,3.06E+07,2.77E+07,9252411,1.99E+07,3.41E+07,1.09E+07,4.11E+07,1.30E+07,3.04E+07,1.62E+07,4.23E+07
7,,,,,,,0.894,0.017,33.562,0.036,189.41,0.2,342.2388,0.0003,0.1640011,0.56,-1,4,19,100,x,FALSE,2.52E+07,2.41E+07,2.52E+07,524814.1,5559222,1.48E+07,3.22E+07,3.01E+07,2.07E+07,2.00E+07,2.48E+07,1.16E+07,0.001,1.88E+07,1.73E+07,1.51E+07,2.86E+07,1.86E+07,3.71E+07,1.70E+07
8,,,,,,,2.46,0.003,32.392,0.033,182.44,0.19,358.1969,0.0003,0.1488798,0.31,-1,5,20,100,x,FALSE,2.34E+07,2.40E+07,2.38E+07,2157478,4852683,8986630,1.49E+07,2.38E+07,1.66E+07,2.37E+07,2.03E+07,2.89E+07,1.74E+07,2.55E+07,9093095,2.95E+07,1.20E+07,2.46E+07,1.48E+07,2.85E+07
9,,,,,,,2.3,0.002,30.957,0.027,175.14,0.15,315.119,0.0002,0.1180303,0.4,-1,3,20,100,x,FALSE,1.88E+07,1.90E+07,1.92E+07,1005609,2807323,5812273,1.05E+07,1.96E+07,1.28E+07,1.93E+07,1.60E+07,2.69E+07,1.24E+07,2.03E+07,6420019,2.72E+07,8066469,2.12E+07,9989756,2.66E+07
10,5-(3-Pyridyl)-2-hydroxytetrahydrofuran,C9 H11 N O2,(M-H)-,165.079,53798-73-5,,1.623,0.023,23.952,0.025,140.1,0.15,164.0718,0.0001,0.113287,0.39,-1,3,20,100,x,FALSE,1.89E+07,1.91E+07,1.93E+07,1392827,2203072,4197267,8540119,1.65E+07,1.30E+07,1.87E+07,1.66E+07,2.44E+07,1.28E+07,2.08E+07,7795031,2.38E+07,9341385,1.78E+07,1.09E+07,2.42E+07
11,Glutaminyl-Isoleucine,C11 H21 N3 O4,(M-H)-,259.1532,,,1.774,0.002,28.91,0.025,164.91,0.15,258.1455,0.0002,0.0928681,0.47,-1,4,20,100,x,FALSE,1.63E+07,1.70E+07,1.78E+07,759097.3,2381629,4869800,9129424,1.72E+07,8025912,1.59E+07,1.08E+07,2.14E+07,7338114,1.70E+07,2389585,2.21E+07,4805415,1.75E+07,7395271,2.21E+07
12,L-gamma-glutamyl-L-isoleucine,C11 H20 N2 O5,(M-H)-,260.1372,,,2.613,0.006,28.641,0.048,163.33,0.28,259.1292,0.0002,0.0853655,0.53,-1,4,18,100,x,FALSE,1.25E+07,2.24E+07,0.001,2829697,5233896,7918182,1.30E+07,1.02E+07,4550561,1.22E+07,8356002,0.001,1.17E+07,2.17E+07,6823779,1.48E+07,8710167,1.17E+07,1.01E+07,2.34E+07
13,Histidylleucine,C12 H20 N4 O3,(M-H)-,268.1535,7763-65-7,,1.97,0.004,29.372,0.026,167.3,0.15,267.1457,0.0004,0.0804084,0.41,-1,3,20,100,x,FALSE,1.50E+07,1.54E+07,1.37E+07,1018187,2509766,4715991,8370199,1.40E+07,7967593,1.44E+07,9952328,1.67E+07,6475921,1.54E+07,2595107,1.56E+07,5031668,1.45E+07,6818237,1.69E+07
14,,,,,,,0.796,0.071,45.322,0.084,249.97,0.46,982.9872,0.0008,0.0793071,1.07,-1,4,13,100,,FALSE,8043624,0.001,7735559,7882801,1.06E+07,1.40E+07,7835950,5519041,0.001,9537932,4985333,0.001,1.80E+07,0.001,2.13E+07,0.001,2.09E+07,0.001,2.11E+07,0.001
15,Xanthine,C5 H4 N4 O2,(M-H)-,152.0334,69-89-6,122.2,0.646,0.003,20.603,0.023,121.02,0.14,151.026,0.0002,0.0728859,0.32,-1,3,20,100,x,FALSE,1.06E+07,1.14E+07,1.18E+07,882680.5,2133542,4096723,7446337,1.24E+07,8499048,9647918,1.17E+07,9931070,1.21E+07,1.08E+07,6716761,1.26E+07,7301246,7837874,9456760,1.31E+07
16,,,,,,,2.944,0.018,21.525,0.032,125.26,0.19,172.958,0.0002,0.0669662,0.38,-1,4,19,100,,FALSE,8175451,1.03E+07,8369337,0.001,7019716,9455878,1.02E+07,9607422,6630884,7411756,8915424,6029804,1.03E+07,8382154,6283950,7933462,7419150,7313960,8512279,8228395
17,Lauryl hydrogen sulfate,C12 H26 O4 S,(M-H)-,266.1552,151-21-3,,0.212,0.001,29.077,0.027,165.66,0.16,265.1472,0.0002,0.0663829,0.56,-1,4,20,100,x,FALSE,3419598,3705199,3629678,3090336,3804418,6069065,6448254,1.19E+07,1.29E+07,1.28E+07,9010624,6797226,1.24E+07,5445920,1.03E+07,6310168,6932755,4705542,1.65E+07,7301796
18,,,,,,,3.078,0.008,24.09,0.018,136.77,0.11,272.8827,0.0002,0.065828,0.55,-1,4,20,100,,FALSE,4883428,4824632,7518949,9225543,1.42E+07,7792135,6715641,5023377,5634788,5694098,1.04E+07,7044780,7150071,4737490,7945368,7218392,8130902,5873200,7164001,7173068
19,Diketo-gulonic acid,C6 H8 O7,(M-H)-,192.027,,,2.939,0.014,22.048,0.023,127.49,0.13,191.0198,0.0002,0.0633112,1.27,-1,3,19,100,x,FALSE,2165513,0.001,2460721,2.55E+07,1.94E+07,1.19E+07,5836910,2392395,4341794,2621954,3364557,1601811,5017969,2080566,1.09E+07,1645177,8467902,2721578,6678311,1606286
