ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
1,,,,,,,1.964,0.037,26.561,0.016,162.66,0.1,254.1605,0.0007,0.4077088,0.34,1,5,16,100,x,FALSE,4.80E+07,7.73E+07,1.24E+08,1.65E+08,2.04E+08,1.77E+08,2.07E+08,5.33E+07,2.32E+08,1.58E+08,2.12E+08,1.30E+08,2.77E+08,1.37E+08,2.17E+08,1.47E+08,0.001
2,5-Aminopentanoic acid,660-88-8,C5 H11 N O2,(M+H)+,117.079,,1.554,0.002,18.736,0.03,120.65,0.2,118.0855,0.0011,0.3838994,0.53,1,3,14,100,x,FALSE,6.42E+07,9.09E+07,1.20E+08,1.50E+08,1.85E+08,1.73E+08,1.65E+08,1.78E+08,1.85E+08,1.74E+08,1.67E+08,1.61E+08,0.001,1.62E+08,0.001,1.67E+08,0.001
3,,,,,,,0.24,0.005,34.198,0.071,206.47,0.43,376.261,0.0006,0.2020667,1.44,1,5,8,100,x,FALSE,5.06E+07,9.22E+07,1.65E+08,2.49E+08,0.001,235484.2,0.001,0.001,3.01E+08,0.001,0.001,0.001,0.001,0.001,3.60E+08,129965.2,0.001
4,,,,,,,0.249,0.004,34.204,0.025,206.5,0.15,376.2573,0,0.1835606,1.6,1,5,5,100,x,FALSE,0.001,0.001,0.001,0.001,2.76E+08,0.001,3.04E+08,0.001,0.001,0.001,3.46E+08,0.001,3.80E+08,0.001,0.001,0.001,3.53E+08
5,,,,,,,2.094,0.036,26.557,0.017,162.64,0.1,254.1606,0.001,0.1418646,0.81,1,4,17,99.9,x,FALSE,7051763,1.52E+07,2.70E+07,4.00E+07,5.85E+07,4.68E+07,5.67E+07,2.05E+08,6.10E+07,4.47E+07,5.80E+07,3.20E+07,6.61E+07,3.50E+07,5.96E+07,4.28E+07,6.79E+07
6,Allopurinol,315-30-0,C5 H4 N4 O,(M+H)+,136.0385,,0.557,0.003,19.91,0.02,126.6,0.13,137.0465,0.0005,0.1404607,0.36,1,3,17,100,x,FALSE,8849431,1.46E+07,2.31E+07,3.23E+07,4.30E+07,6.45E+07,6.69E+07,7.02E+07,7.56E+07,6.34E+07,5.90E+07,5.10E+07,7.89E+07,5.58E+07,6.60E+07,6.11E+07,7.51E+07
7,Dulcin,150-69-6,C9 H12 N2 O2,(M+H)+,180.0899,,0.455,0.002,21.815,0.023,135.97,0.15,181.098,0.0004,0.1123554,0.49,1,4,16,100,x,FALSE,989281.3,4891251,1.71E+07,3.60E+07,6.39E+07,5.38E+07,0.001,6.15E+07,7.44E+07,5.10E+07,6.47E+07,3.42E+07,7.29E+07,4.00E+07,6.49E+07,4.68E+07,7.76E+07
8,PE(14:0/18:1(11Z)),,C37 H72 N O8 P,(M+H)+,689.4996,,0.862,0.004,45.119,0.063,268.54,0.37,690.51,0.0014,0.1118762,1.27,1,5,14,100,x,FALSE,478797.8,2467006,6919470,1.10E+07,3.48E+07,8.20E+07,103432.4,8.26E+07,25659.51,7.78E+07,0.001,8.96E+07,0.001,9.94E+07,69529.86,1.01E+08,0.001
9,2-Methylbutanal,96-17-3,C5 H10 O,(M+NH4)+,86.0732,,1.301,0.005,17.989,0.017,117.25,0.11,104.1074,0.0002,0.1110311,0.43,1,3,17,100,x,FALSE,3549826,7042920,1.46E+07,2.73E+07,4.59E+07,6.16E+07,5.65E+07,6.59E+07,5.83E+07,5.09E+07,4.25E+07,3.65E+07,6.13E+07,4.00E+07,5.81E+07,4.63E+07,5.74E+07
10,Hexazinone,51235-04-2,C12 H20 N4 O2,(M+NH4)+,252.1586,,1.78,0.004,28.134,0.028,171.88,0.17,270.1935,0.0003,0.1022107,0.31,1,4,17,100,x,FALSE,3027885,7401565,1.76E+07,3.51E+07,5.42E+07,3.91E+07,5.59E+07,5.06E+07,6.43E+07,4.10E+07,5.59E+07,2.71E+07,6.41E+07,3.11E+07,5.67E+07,3.59E+07,6.22E+07
